date,missing_report,transfers_exceed_custody,discharges_exceed_hhs_care,negative_values
2023-01-13,True,False,False,False
2023-01-14,True,False,False,False
2023-01-15,True,False,False,False
2023-01-16,True,False,False,False
2023-01-17,True,False,False,False
2023-01-18,True,False,False,False
2023-01-19,True,False,False,False
2023-01-20,True,False,False,False
2023-01-21,True,False,False,False
2023-01-24,False,True,False,False
2023-01-25,False,True,False,False
2023-01-26,True,False,False,False
2023-01-27,True,False,False,False
2023-01-28,True,False,False,False
2023-02-02,False,True,False,False
2023-02-03,True,False,False,False
2023-02-04,True,False,False,False
2023-02-10,True,False,False,False
2023-02-11,True,False,False,False
2023-02-17,True,False,False,False
2023-02-18,True,False,False,False
2023-02-19,True,False,False,False
2023-02-22,False,True,False,False
2023-02-23,False,True,False,False
2023-02-24,True,False,False,False
2023-02-25,True,False,False,False
2023-03-01,False,True,False,False
2023-03-03,True,False,False,False
2023-03-04,True,False,False,False
2023-03-05,True,False,False,False
2023-03-06,True,False,False,False
2023-03-10,True,False,False,False
2023-03-11,True,False,False,False
2023-03-12,True,False,False,False
2023-03-17,True,False,False,False
2023-03-18,True,False,False,False
2023-03-24,True,False,False,False
2023-03-25,True,False,False,False
2023-03-31,True,False,False,False
2023-04-01,True,False,False,False
2023-04-03,False,True,False,False
2023-04-07,True,False,False,False
2023-04-08,True,False,False,False
2023-04-14,True,False,False,False
2023-04-15,True,False,False,False
2023-04-21,True,False,False,False
2023-04-22,True,False,False,False
2023-04-25,False,True,False,False
2023-04-28,True,False,False,False
2023-04-29,True,False,False,False
2023-05-04,False,True,False,False
2023-05-05,True,False,False,False
2023-05-06,True,False,False,False
2023-05-12,True,False,False,False
2023-05-13,True,False,False,False
2023-05-17,False,True,False,False
2023-05-18,False,True,False,False
2023-05-19,True,False,False,False
2023-05-20,True,False,False,False
2023-05-23,False,True,False,False
2023-05-26,True,False,False,False
2023-05-27,True,False,False,False
2023-05-28,True,False,False,False
2023-05-29,False,True,False,False
2023-05-31,False,True,False,False
2023-06-02,True,False,False,False
2023-06-03,True,False,False,False
2023-06-09,True,False,False,False
2023-06-10,True,False,False,False
2023-06-11,False,True,False,False
2023-06-12,False,True,False,False
2023-06-13,False,True,False,False
2023-06-15,False,True,False,False
2023-06-16,True,False,False,False
2023-06-17,True,False,False,False
2023-06-18,True,False,False,False
2023-06-23,True,False,False,False
2023-06-24,True,False,False,False
2023-06-30,True,False,False,False
2023-07-01,True,False,False,False
2023-07-03,True,False,False,False
2023-07-05,False,True,False,False
2023-07-06,False,True,False,False
2023-07-07,True,False,False,False
2023-07-08,True,False,False,False
2023-07-12,False,True,False,False
2023-07-14,True,False,False,False
2023-07-15,True,False,False,False
2023-07-21,True,False,False,False
2023-07-22,True,False,False,False
2023-07-28,True,False,False,False
2023-07-29,True,False,False,False
2023-08-04,True,False,False,False
2023-08-05,True,False,False,False
2023-08-09,False,True,False,False
2023-08-11,True,False,False,False
2023-08-12,True,False,False,False
2023-08-13,True,False,False,False
2023-08-14,True,False,False,False
2023-08-15,True,False,False,False
2023-08-18,True,False,False,False
2023-08-19,True,False,False,False
2023-08-25,True,False,False,False
2023-08-26,True,False,False,False
2023-09-01,True,False,False,False
2023-09-02,True,False,False,False
2023-09-03,True,False,False,False
2023-09-06,False,True,False,False
2023-09-08,True,False,False,False
2023-09-09,True,False,False,False
2023-09-15,True,False,False,False
2023-09-16,True,False,False,False
2023-09-17,False,True,False,False
2023-09-22,True,False,False,False
2023-09-23,True,False,False,False
2023-09-28,False,True,False,False
2023-09-29,True,False,False,False
2023-09-30,True,False,False,False
2023-10-01,False,True,False,False
2023-10-04,False,True,False,False
2023-10-06,True,False,False,False
2023-10-07,True,False,False,False
2023-10-08,True,False,False,False
2023-10-10,False,True,False,False
2023-10-12,False,True,False,False
2023-10-13,True,False,False,False
2023-10-14,True,False,False,False
2023-10-20,True,False,False,False
