date,cbp_intake,cbp_custody,cbp_transfers_out,hhs_care,hhs_discharged,is_reported,total_system_load,net_daily_intake,care_load_growth_rate_pct,net_intake_positive,backlog_streak,total_load_ma_7,total_load_ma_14,total_load_ma_30,hhs_care_volatility_7d,discharge_offset_ratio,year,month,week
2023-01-12,33.0,53.0,34.0,6566.0,436.0,True,6619.0,-402.0,,0,0,6619.0,6619.0,6619.0,,12.823529411764707,2023,2023-01,2023-01-09/2023-01-15
2023-01-13,0.0,53.0,0.0,6566.0,0.0,False,6619.0,0.0,0.0,0,0,6619.0,6619.0,6619.0,,,2023,2023-01,2023-01-09/2023-01-15
2023-01-14,0.0,53.0,0.0,6566.0,0.0,False,6619.0,0.0,0.0,0,0,6619.0,6619.0,6619.0,0.0,,2023,2023-01,2023-01-09/2023-01-15
2023-01-15,0.0,53.0,0.0,6566.0,0.0,False,6619.0,0.0,0.0,0,0,6619.0,6619.0,6619.0,0.0,,2023,2023-01,2023-01-09/2023-01-15
2023-01-16,0.0,53.0,0.0,6566.0,0.0,False,6619.0,0.0,0.0,0,0,6619.0,6619.0,6619.0,0.0,,2023,2023-01,2023-01-16/2023-01-22
2023-01-17,0.0,53.0,0.0,6566.0,0.0,False,6619.0,0.0,0.0,0,0,6619.0,6619.0,6619.0,0.0,,2023,2023-01,2023-01-16/2023-01-22
2023-01-18,0.0,53.0,0.0,6566.0,0.0,False,6619.0,0.0,0.0,0,0,6619.0,6619.0,6619.0,0.0,,2023,2023-01,2023-01-16/2023-01-22
2023-01-19,0.0,53.0,0.0,6566.0,0.0,False,6619.0,0.0,0.0,0,0,6619.0,6619.0,6619.0,0.0,,2023,2023-01,2023-01-16/2023-01-22
2023-01-20,0.0,53.0,0.0,6566.0,0.0,False,6619.0,0.0,0.0,0,0,6619.0,6619.0,6619.0,0.0,,2023,2023-01,2023-01-16/2023-01-22
2023-01-21,0.0,53.0,0.0,6566.0,0.0,False,6619.0,0.0,0.0,0,0,6619.0,6619.0,6619.0,0.0,,2023,2023-01,2023-01-16/2023-01-22
2023-01-22,32.0,49.0,39.0,7122.0,227.0,True,7171.0,-188.0,8.339628342649942,0,0,6697.857142857143,6669.181818181818,6669.181818181818,3.2005520407117056,5.82051282051282,2023,2023-01,2023-01-16/2023-01-22
2023-01-23,32.0,50.0,39.0,7280.0,181.0,True,7330.0,-142.0,2.2172639799191263,0,0,6799.428571428572,6724.25,6724.25,3.170499154735134,4.641025641025641,2023,2023-01,2023-01-23/2023-01-29
2023-01-24,47.0,42.0,47.0,7433.0,175.0,True,7475.0,-128.0,1.9781718963165051,0,0,6921.714285714285,6782.0,6782.0,3.100577561609919,3.723404255319149,2023,2023-01,2023-01-23/2023-01-29
2023-01-25,20.0,22.0,41.0,7538.0,180.0,True,7560.0,-139.0,1.1371237458194017,0,0,7056.142857142857,6837.571428571428,6837.571428571428,3.006398905580624,4.390243902439025,2023,2023-01,2023-01-23/2023-01-29
2023-01-26,0.0,22.0,0.0,7538.0,0.0,False,7560.0,0.0,0.0,0,0,7190.571428571428,6904.785714285715,6885.733333333334,3.006398905580624,,2023,2023-01,2023-01-23/2023-01-29
2023-01-27,0.0,22.0,0.0,7538.0,0.0,False,7560.0,0.0,0.0,0,0,7325.0,6972.0,6927.875,3.006398905580624,,2023,2023-01,2023-01-23/2023-01-29
2023-01-28,0.0,22.0,0.0,7538.0,0.0,False,7560.0,0.0,0.0,0,0,7459.428571428572,7039.214285714285,6965.058823529412,3.006398905580624,,2023,2023-01,2023-01-23/2023-01-29
2023-01-29,23.0,45.0,11.0,7472.0,303.0,True,7517.0,-292.0,-0.5687830687830742,0,0,7508.857142857143,7103.357142857143,6995.722222222223,1.206258624788464,27.545454545454547,2023,2023-01,2023-01-23/2023-01-29
2023-01-30,34.0,54.0,29.0,7743.0,196.0,True,7797.0,-167.0,3.7248902487694524,0,0,7575.571428571428,7187.5,7037.894736842105,1.5665798707596514,6.758620689655173,2023,2023-01,2023-01-30/2023-02-05
2023-01-31,26.0,36.0,36.0,7803.0,158.0,True,7839.0,-122.0,0.538668718737978,0,0,7627.571428571428,7274.642857142857,7077.95,1.4737825978655152,4.388888888888889,2023,2023-01,2023-01-30/2023-02-05
2023-02-01,25.0,32.0,27.0,7903.0,231.0,True,7935.0,-204.0,1.2246460007653948,0,0,7681.142857142857,7368.642857142857,7118.761904761905,1.4641035088708128,8.555555555555555,2023,2023-02,2023-01-30/2023-02-05
2023-02-02,15.0,13.0,23.0,7879.0,298.0,True,7892.0,-275.0,-0.5419029615627013,0,0,7728.571428571428,7459.571428571428,7153.909090909091,1.4920787784009646,12.956521739130435,2023,2023-02,2023-01-30/2023-02-05
2023-02-03,0.0,13.0,0.0,7879.0,0.0,False,7892.0,0.0,0.0,0,0,7776.0,7550.5,7186.0,1.4920787784009646,,2023,2023-02,2023-01-30/2023-02-05
2023-02-04,0.0,13.0,0.0,7879.0,0.0,False,7892.0,0.0,0.0,0,0,7823.428571428572,7641.428571428572,7215.416666666667,1.4920787784009646,,2023,2023-02,2023-01-30/2023-02-05
2023-02-05,16.0,18.0,15.0,7586.0,342.0,True,7604.0,-327.0,-3.6492650785605707,0,0,7835.857142857143,7672.357142857143,7230.96,2.1956121530256922,22.8,2023,2023-02,2023-01-30/2023-02-05
2023-02-06,11.0,22.0,12.0,7720.0,196.0,True,7742.0,-184.0,1.8148342977380327,0,0,7828.0,7701.785714285715,7250.615384615385,1.7925153601155202,16.333333333333332,2023,2023-02,2023-02-06/2023-02-12
2023-02-07,16.0,20.0,20.0,7855.0,200.0,True,7875.0,-180.0,1.7179023508137492,0,0,7833.142857142857,7730.357142857143,7273.740740740741,1.8998345814076694,10.0,2023,2023-02,2023-02-06/2023-02-12
2023-02-08,93.0,196.0,169.0,7915.0,317.0,True,8111.0,-148.0,2.9968253968253977,0,0,7858.285714285715,7769.714285714285,7303.642857142857,1.8562296458209406,1.8757396449704142,2023,2023-02,2023-02-06/2023-02-12
2023-02-09,124.0,234.0,161.0,7908.0,353.0,True,8142.0,-192.0,0.3821970163974786,0,0,7894.0,7811.285714285715,7332.551724137931,1.851428953379869,2.1925465838509317,2023,2023-02,2023-02-06/2023-02-12
2023-02-10,0.0,234.0,0.0,7908.0,0.0,False,8142.0,0.0,0.0,0,0,7929.714285714285,7852.857142857143,7359.533333333334,1.851428953379869,,2023,2023-02,2023-02-06/2023-02-12
2023-02-11,0.0,234.0,0.0,7908.0,0.0,False,8142.0,0.0,0.0,0,0,7965.428571428572,7894.428571428572,7410.3,1.851428953379869,,2023,2023-02,2023-02-06/2023-02-12
2023-02-12,92.0,203.0,173.0,7434.0,317.0,True,7637.0,-144.0,-6.202407270940801,0,0,7970.142857142857,7903.0,7444.233333333334,2.6530500158804093,1.8323699421965318,2023,2023-02,2023-02-06/2023-02-12
2023-02-13,186.0,259.0,172.0,7483.0,244.0,True,7742.0,-72.0,1.3748854262144894,0,0,7970.142857142857,7899.071428571428,7481.666666666667,2.542983977595371,1.4186046511627908,2023,2023-02,2023-02-13/2023-02-19
2023-02-14,154.0,225.0,220.0,7794.0,223.0,True,8019.0,-3.0,3.577886850942913,0,0,7990.714285714285,7911.928571428572,7528.333333333333,3.005267849406165,1.0136363636363637,2023,2023-02,2023-02-13/2023-02-19
2023-02-15,91.0,199.0,172.0,7869.0,290.0,True,8068.0,-118.0,0.6110487591969083,0,0,7984.571428571428,7921.428571428572,7576.633333333333,3.0153839040213213,1.686046511627907,2023,2023-02,2023-02-13/2023-02-19
2023-02-16,81.0,213.0,153.0,7793.0,361.0,True,8006.0,-208.0,-0.7684680218145723,0,0,7965.142857142857,7929.571428571428,7622.866666666667,3.0357268156879433,2.3594771241830066,2023,2023-02,2023-02-13/2023-02-19
2023-02-17,0.0,213.0,0.0,7793.0,0.0,False,8006.0,0.0,0.0,0,0,7945.714285714285,7937.714285714285,7669.1,3.0357268156879433,,2023,2023-02,2023-02-13/2023-02-19
